Contig66	-	1	2300563	LG06	64722064	67022626
Contig67	+	1	1880124	LG10	90632175	92512298
Contig68	-	1	1604742	LG10	89027333	90632074
Contig69	-	1	1536767	LG10	1	1536767
Contig70	-	1	1531459	LG10	7431055	8962513
Contig71	-	1	1500205	LG19	9907932	11408136
Contig72	+	1	948524	LG19	12224213	13172736
Contig73	+	1	936674	Contig1	1	936674
Contig74	+	1	883705	LG08	121148990	122032694
Contig75	+	1	766245	LG10	88080399	88846643
Contig76	-	1	762792	LG15	36708040	37470831
Contig77	+	1	608885	LG01	3831726	4440610
Contig78	+	1	560345	Contig2	1	560345
Contig79	+	1	518015	LG15	37470932	37988946
Contig80	+	1	484618	LG19	18357032	18841649
Contig81	+	1	476099	Contig3	1	476099
Contig82	+	1	467341	Contig4	1	467341
Contig83	+	1	423308	LG01	106429813	106853120
Contig84	+	1	414980	LG11	33404683	33819662
Contig85	-	1	404294	LG10	119501234	119905527
Contig86	-	1	393632	LG10	9055586	9449217
Contig87	+	1	391028	LG19	25785801	26176828
Contig88	-	1	388847	LG15	38335932	38724778
Contig89	+	1	380399	LG15	36084062	36464460
Contig90	+	1	376264	Contig5	1	376264
Contig91	+	1	372079	Contig6	1	372079
Contig92	+	1	358041	Contig7	1	358041
Contig93	-	1	347549	LG19	18009383	18356931
Contig94	-	1	346785	LG15	37989047	38335831
Contig95	+	1	336050	LG11	33819763	34155812
Contig96	-	1	335419	LG19	9572413	9907831
Contig97	-	1	316076	LG19	11408237	11724312
Contig98	-	1	303594	LG19	11724413	12028006
Contig99	+	1	295478	Contig8	1	295478
Contig100	+	1	265517	Contig9	1	265517
Contig101	+	1	244039	Contig10	1	244039
Contig102	+	1	243379	LG15	36464561	36707939
Contig103	+	1	239924	LG02	44449961	44689884
Contig104	+	1	235960	LG06	72668457	72904416
Contig105	+	1	210285	LG17	36010068	36220352
Contig106	+	1	196006	LG19	12028107	12224112
Contig107	+	1	190284	LG19	25595417	25785700
Contig108	+	1	186045	LG01	106853221	107039265
Contig109	+	1	180489	LG10	88846744	89027232
Contig110	+	1	159601	LG10	44563444	44723044
Contig111	+	1	130464	LG10	7300491	7430954
Contig112	+	1	115602	Contig12	1	115602
Contig113	+	1	107433	LG01	3724193	3831625
Contig114	+	1	106596	Contig13	1	106596
Contig115	+	1	103491	LG06	67022727	67126217
Contig116	+	1	102412	LG01	107039366	107141777
Contig117	+	1	92872	LG10	8962614	9055485
Contig118	-	1	87428	LG08	49276590	49364017
Contig119	+	1	61208	Contig14	1	61208
Contig120	+	1	58444	Contig15	1	58444
